case_id,language,difficulty,should_have_answer,correctness,faithfulness,relevance,passed,hallucination,false_refusal,false_answer,evidence_hit,is_refusal,secondary_correctness,secondary_faithfulness,correctness_score_delta,faithfulness_score_delta,correctness_label_agree,faithfulness_label_agree,forbidden_claim_hit
wm_en_01_run_file_diff,en,easy,1,1.0,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.25,0.0,True,True,0
wm_en_02_difflist_class,en,easy,1,0.9,0.95,1.0,1,0,0,0,1.0,0,1.0,1.0,0.09999999999999998,0.050000000000000044,True,True,0
wm_en_03_diffrange_struct,en,easy,1,0.95,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.19999999999999996,0.25,True,True,0
wm_en_04_diff_thread,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,1.0,1.0,0.25,0.0,True,True,0
wm_en_05_word_diffs,en,medium,1,0.5,0.0,1.0,0,1,0,0,1.0,0,0.75,0.0,0.25,0.0,True,True,0
wm_en_06_is_conflict_file,en,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_07_parse_conflict_file,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_08_dirDoc_role,en,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_en_09_options_mgr,en,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.25,1.0,0.5,0.0,False,True,0
wm_en_10_line_filters,en,medium,1,0.75,0.75,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.0,True,True,0
wm_en_11_file_filter_mgr,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_12_rename_move_detect,en,hard,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_13_cmd_line_info,en,easy,1,0.5,1.0,1.0,0,0,0,0,1.0,0,0.25,1.0,0.25,0.0,False,True,0
wm_en_14_compare_stats,en,easy,1,0.75,0.95,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.19999999999999996,True,True,0
wm_en_15_diff_text_buffer,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_16_diff_context,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_en_17_post_filter,en,hard,1,0.0,1.0,0.0,0,0,1,0,1.0,1,0.25,,0.25,,True,,0
wm_en_18_dirscan_functions,en,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.0,0.0,True,True,0
wm_ru_01_core_diff_class,ru,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.25,1.0,0.5,0.0,False,True,0
wm_ru_02_diffrange_struct,ru,easy,1,0.0,1.0,1.0,0,0,1,0,0.0,1,0.25,,0.25,,True,,0
wm_ru_03_conflict_detection,ru,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_ru_04_line_filters,ru,medium,1,0.5,1.0,1.0,0,0,0,0,0.0,0,0.75,0.75,0.25,0.25,True,True,0
wm_ru_05_dir_scan,ru,medium,1,0.25,1.0,1.0,0,0,0,0,0.0,0,0.75,1.0,0.5,0.0,False,True,0
wm_ru_06_merge_doc_rescan,ru,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_ru_07_compute_word_diffs,ru,medium,1,0.95,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.19999999999999996,0.0,True,True,0
wm_ru_08_prediffing,ru,hard,1,0.75,0.75,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.0,True,True,0
wm_ru_09_compare_stats,ru,easy,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_ru_10_moved_lines,ru,hard,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_ru_11_diff_thread_abort,ru,easy,1,0.95,1.0,1.0,1,0,0,0,1.0,0,0.75,1.0,0.19999999999999996,0.0,True,True,0
wm_ru_12_file_filter_mgr,ru,medium,1,0.75,1.0,1.0,1,0,0,0,1.0,0,0.75,0.75,0.0,0.25,True,True,0
wm_en_neg_01_cuda,en,easy,0,0.0,1.0,0.0,0,0,0,0,,1,0.25,,0.25,,True,,0
wm_en_neg_02_python_scripting,en,easy,0,0.0,1.0,0.0,0,0,0,0,,1,1.0,,1.0,,False,,0
wm_en_neg_03_ml_diff,en,easy,0,0.0,1.0,0.0,0,0,0,0,,1,1.0,,1.0,,False,,0
wm_ru_neg_01_rest_api,ru,easy,0,0.0,1.0,0.0,0,0,0,0,,1,0.25,,0.25,,True,,0
wm_ru_neg_02_sqlite,ru,easy,0,0.0,1.0,0.0,0,0,0,0,,1,0.25,,0.25,,True,,0
wm_ru_neg_03_realtime_collab,ru,easy,0,0.25,1.0,0.5,0,0,0,0,,1,0.75,,0.5,,False,,0
